RecId	Type	Shape_area	LambertX	LambertY	BlockID	ParcelID	parcel_area	parcel_cover	centroid	has_front_garden	num_neighbours	num_facades	distance_to_bus_stop	distance_to_train_station	distance_to_kindergarten	distance_to_school
4350394	CL	175.9376	147693.1591934915	189370.94621465454	138239.0	5783633.0	175.9376	100.0	POINT (147693.1591934915 189370.9462146545)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350395	CL	104.7737	147327.5197501408	188871.89833287938	138246.0	5783721.0	361.9102	28.95	POINT (147327.5197501408 188871.8983328794)	False	2.0	2.0	0.0	0.0	661.767	661.767
4350396	CL	267.6132	148070.96059751045	189148.00851878693	138240.0	5783540.0	267.6132	100.0	POINT (148070.9605975104 189148.0085187869)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350397	CL	159.7183	148114.3981772968	189157.53195230672	138240.0	5782816.0	568.0444	28.12	POINT (148114.3981772968 189157.5319523067)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350398	CL	181.2772	148099.9073195741	189151.49747295093	138240.0	5782857.0	184.1272	98.45	POINT (148099.9073195741 189151.4974729509)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350399	CL	89.9553	147569.22633906305	189432.6414056246	138235.0	5782730.0	196.5952	45.76	POINT (147569.2263390631 189432.6414056246)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350400	CL	127.1456	147955.39967247416	187399.40636854497	138245.0	5782498.0	2415.5274	7.81	POINT (147955.3996724742 187399.406368545)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350401	CL	61.4789	147946.55659164235	187413.28204214454	138245.0	5782498.0	2415.5274	7.81	POINT (147946.5565916424 187413.2820421445)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350402	CL	135.7279	148074.22598654928	189287.2626715027	138239.0	5783304.0	773.0112	17.56	POINT (148074.2259865493 189287.2626715027)	False	0.0	4.0	0.0	0.0	0.0	0.0
4350403	CL	115.8799	147947.88433727648	189596.48756900823	138233.0	5783658.0	1534.8111	8.84	POINT (147947.8843372765 189596.4875690082)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350404	CL	19.8121	147963.77594242085	189596.98968169582	138233.0	5783658.0	1534.8111	8.84	POINT (147963.7759424208 189596.9896816958)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350405	CL	98.2294	147351.76449345378	188884.2100702178	138246.0	5782923.0	481.4411	20.4	POINT (147351.7644934538 188884.2100702178)	False	2.0	2.0	0.0	0.0	661.767	661.767
4350406	CL	330.0027	148040.91361524104	190707.14547424178	138233.0	5783111.0	6872.957	11.48	POINT (148040.913615241 190707.1454742418)	True	0.0	4.0	0.0	249.11300000000003	0.0	0.0
4350407	CL	223.0399	148016.9160407845	190745.31908034004	138233.0	5783111.0	6872.957	11.48	POINT (148016.9160407845 190745.31908034)	False	0.0	4.0	0.0	249.11300000000003	0.0	0.0
4350408	CL	63.8049	148051.10897428298	190660.8882252165	138233.0	5783111.0	6872.957	11.48	POINT (148051.108974283 190660.8882252165)	True	0.0	4.0	0.0	249.11300000000003	0.0	0.0
4350409	ON	101.5899	148015.87309429894	190733.79139626888	138233.0	5783111.0	6872.957	11.48	POINT (148015.8730942989 190733.7913962689)	True	0.0	4.0	0.0	249.11300000000003	0.0	0.0
4350410	ON	70.7965	148019.8706852552	190715.17333923347	138233.0	5783111.0	6872.957	11.48	POINT (148019.8706852552 190715.1733392335)	True	0.0	4.0	0.0	249.11300000000003	0.0	0.0
4350411	CL	194.713	148086.9087744702	189239.89155984487	138239.0	5783136.0	1245.4701	15.63	POINT (148086.9087744702 189239.8915598449)	True	0.0	4.0	0.0	0.0	661.767	661.767
4350412	CL	143.4064	148167.14076639226	189157.2912318551	138240.0	5782762.0	349.11	41.08	POINT (148167.1407663923 189157.2912318551)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350413	CL	107.1267	147998.32710630962	189405.87263412512	138239.0	5783249.0	1141.699	9.38	POINT (147998.3271063096 189405.8726341251)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350414	CL	104.3301	147343.1975468007	189033.99761852785	138235.0	5783397.0	104.3301	100.0	POINT (147343.1975468007 189033.9976185279)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350415	CL	74.8964	147621.35159097478	189078.754223997	138239.0	5783594.0	311.4506	24.05	POINT (147621.3515909748 189078.754223997)	False	1.0	3.0	0.0	0.0	0.0	0.0
4350416	CL	104.3819	147635.44722102405	189455.9798023073	138233.0	5782664.0	308.345	60.41	POINT (147635.447221024 189455.9798023073)	False	2.0	2.0	0.0	0.0	0.0	0.0
4350417	CL	63.3909	147651.90882961336	189459.4202574756	138233.0	5782664.0	308.345	60.41	POINT (147651.9088296134 189459.4202574756)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350418	ON	18.4909	147638.24922314976	189449.3445620785	138233.0	5782664.0	308.345	60.41	POINT (147638.2492231498 189449.3445620785)	False	0.0	4.0	0.0	0.0	0.0	0.0
4350419	CL	95.04	147724.04991936986	189592.51388300152	138233.0	5782619.0	127.7271	74.41	POINT (147724.0499193699 189592.5138830015)	False	2.0	2.0	0.0	0.0	0.0	0.0
4350420	CL	78.9574	147894.50223332355	189017.72240673268	138240.0	5782676.0	279.7713	28.22	POINT (147894.5022333236 189017.7224067327)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350421	CL	70.5748	147774.2810489941	189635.63088575235	138233.0	5783264.0	204.9596	34.43	POINT (147774.2810489941 189635.6308857524)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350422	CL	83.0248	147878.24163530182	189048.24738756017	138240.0	5783183.0	216.9465	38.27	POINT (147878.2416353018 189048.2473875602)	True	2.0	2.0	0.0	0.0	661.767	661.767
4350423	CL	65.5201	147938.4870082346	189512.02570385105	138233.0	5783018.0	428.8796	16.32	POINT (147938.4870082346 189512.025703851)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350424	ON	4.454	147939.57998376235	189515.98116826906	138233.0	5783018.0	428.8796	16.32	POINT (147939.5799837623 189515.9811682691)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350425	CL	170.1742	147748.9042269733	189620.32891943352	138233.0	5783275.0	215.2279	79.07	POINT (147748.9042269733 189620.3289194335)	True	2.0	2.0	0.0	0.0	0.0	0.0
4350426	CL	214.2476	147667.22920070807	189398.5199185738	138239.0	5783331.0	367.9236	58.23	POINT (147667.2292007081 189398.5199185738)	False	0.0	4.0	0.0	0.0	0.0	0.0
4350427	CL	90.6965	147622.17652315096	189054.6364383553	138239.0	5783652.0	328.277	27.63	POINT (147622.176523151 189054.6364383553)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350428	CL	77.2803	147807.24648311996	189010.39698185324	138240.0	5783160.0	242.8149	31.83	POINT (147807.24648312 189010.3969818532)	True	2.0	2.0	0.0	0.0	661.767	661.767
4350429	CL	122.6004	148213.83170908745	189100.67725380778	138243.0	5783311.0	200.02	61.29	POINT (148213.8317090874 189100.6772538078)	False	0.0	4.0	0.0	0.0	661.767	661.767
4350430	CL	105.8084	148740.9717975186	188448.12481699197	138238.0	5782576.0	105.8084	100.0	POINT (148740.9717975186 188448.124816992)	True	1.0	3.0	240.06300000000005	659.9069999999999	328.195	328.195
4350431	CL	154.8517	147778.80740731556	189540.45049436644	138233.0	5782819.0	1016.1953	15.24	POINT (147778.8074073156 189540.4504943664)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350432	CL	119.9148	147959.24944466478	189318.148385793	138239.0	5782852.0	763.6381	17.9	POINT (147959.2494446648 189318.148385793)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350433	ON	16.8011	147965.13031342466	189316.1816352847	138239.0	5782852.0	763.6381	17.9	POINT (147965.1303134247 189316.1816352847)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350434	CL	158.0426	147723.22396096968	189496.9534598393	138233.0	5782739.0	158.0426	100.0	POINT (147723.2239609697 189496.9534598393)	True	0.0	4.0	0.0	0.0	0.0	0.0
