"enh_typoH","LambertX","LambertY","LambertPrecision","sid","snum","X_Ori","Y_Ori"
0,150439,188294,"S","034917","0041",150229,188072
0,149020,187577,"S","034939","0001",149017,187558
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
1,150439,188294,"S","034917","0020",150281,188178
0,148622,185810,"S","034931","0096",148709,185522
2,149314,189369,"S","034845","0085",149531,189365
1,149314,189369,"S","034845","0101",149585,189360
0,149152,189237,"C","034849","0154",149342,189106
2,150149,188785,"S","034898","0040",150087,188829
1,149362,189346,"S","034845","0032",149394,189320
0,149152,189237,"C","034849","0227",149403,189141
0,148622,185810,"S","034931","0102",148707,185621
0,148959,189438,"S","034881","0010",148976,189488
0,148030,189407,"S","034948","0018",148016,189372
0,149136,187851,"S","034862","0069",149226,187717
0,151052,188647,"S","034886","0081",151200,188946
0,148959,189438,"S","034881","0010",148976,189488
0,149028,187428,"S","034938","0034",148857,187229
0,150004,189349,"S","034905","0030",149939,189331
1,147928,189141,"S","034961","0109",147971,189164
0,147482,190322,"S","034954","0017",147503,190291
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
1,149472,186072,"S","034936","0070",149472,186107
2,149817,189264,"S","034887","0012",149837,189280
2,149016,189083,"S","034872","0010",149024,189165
0,148622,185810,"S","034931","0100",148699,185573
1,147662,189646,"S","034959","0011",147608,189528
1,149997,188795,"S","034899","0044",150041,188805
2,149561,189345,"S","034845","0064",149547,189329
0,148959,189438,"S","034881","0010",148976,189488
0,148891,189406,"S","034837","0015",148873,189425
2,149152,189237,"C","034849","0273",149596,189110
1,150149,188785,"S","034898","0002",149867,188844
1,149887,189579,"S","034893","0005",149684,189577
0,149924,187584,"S","034934","0013",149848,187478
2,150149,188785,"S","034898","0054",150114,188793
1,148663,189540,"S","034868","0001",148659,189473
0,149016,189083,"S","034872","0037",149026,189083
1,149807,189352,"C","034889","0016",149807,189395
2,149019,188587,"S","034859","0018",148971,188545
0,149136,187851,"S","034862","0006",149014,188426
0,148622,185810,"S","034931","0101",148716,185610
0,150149,188785,"S","034898","0105",150408,188578
0,149830,187390,"S","034927","0013",149845,187389
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,149439,189039,"S","034861","0005",149449,189082
1,147928,189141,"S","034961","0107",147962,189160
2,149222,189032,"S","034857","0079",149122,189021
0,148622,185810,"S","034931","0096",148709,185522
0,146819,189968,"S","034954","0050",147152,190253
0,147447,188932,"S","034961","0024",147411,188899
2,149968,189117,"C","034849","0306",150075,189082
0,149136,187851,"S","034862","0070",149133,187804
0,148622,185810,"S","034931","0107",148697,185658
1,149902,188945,"S","034894","0018",149878,188961
2,149890,189351,"S","034891","0040",149901,189363
0,149136,187851,"S","034862","0055",149155,187857
2,149649,189192,"S","034864","0011",149617,189248
0,149454,188089,"S","034846","0096",149429,188043
1,149355,187795,"S","034851","0025",149315,187770
0,147877,189504,"S","034838","0201",147836,189496
1,149152,189237,"C","034849","0120",149207,189184
0,148622,185810,"S","034931","0125",148572,185928
1,149152,189237,"C","034849","0156",149362,189116
0,149571,189009,"S","034844","0012",149476,189035
0,148538,188128,"S","034867","0031",148833,188448
0,147877,189504,"S","034838","0201",147836,189496
2,149571,187227,"S","034862","0182",149487,187331
1,149649,189192,"S","034864","0034",149669,189043
1,149887,189579,"S","034893","0007",149701,189580
1,150439,188294,"S","034917","0020",150281,188178
0,149362,189346,"S","034845","0040",149436,189316
0,148959,189438,"S","034881","0010",148976,189488
1,149649,189192,"S","034864","0034",149669,189043
0,149458,189229,"S","034856","0014",149432,189248
2,149997,188795,"S","034899","0034",150014,188784
0,148959,189438,"S","034881","0010",148976,189488
0,148728,189475,"S","034876","0011",148775,189453
1,149222,189032,"S","034857","0012",149257,189051
1,149019,188587,"S","034859","0028",148953,188608
1,147608,189181,"S","034951","0034",147584,189083
0,147415,189145,"S","034946","0014",147446,189219
0,149152,189237,"C","034849","0108",149163,189204
2,149968,189117,"C","034849","0392",150450,189152
2,149807,189352,"C","034889","0008",149764,189391
0,149263,188233,"S","034854","0011",149354,188193
0,150070,186522,"S","034932","0029",149952,186278
0,148959,189438,"S","034881","0010",148976,189488
0,148516,185131,"S","034941","0001",148516,185130
0,148486,189525,"S","034843","0012",148523,189435
1,149222,189032,"S","034857","0012",149257,189051
0,148824,186511,"S","034925","0002",148969,186290
0,149152,189237,"C","034849","0119",148914,189305
0,148959,189438,"S","034881","0010",148976,189488
2,149222,189032,"S","034857","0091",149084,189029
0,148959,189438,"S","034881","0010",148976,189488
1,149152,189237,"C","034849","0233",149432,189133
0,148798,185910,"S","034930","0042",148812,185984
0,148148,186687,"S","034931","0152",148309,186405
1,147608,189181,"S","034951","0049",147624,189081
0,149362,189346,"S","034845","0022",149302,189341
0,148959,189438,"S","034881","0010",148976,189488
0,146944,189568,"S","034955","0022",147234,189060
1,149458,189229,"S","034856","0006",149471,189243
0,149887,189579,"S","034893","0011",149720,189580
1,149326,189280,"S","034847","0021",149312,189291
1,147447,188932,"S","034961","0048",147575,188959
1,148828,189597,"S","034837","0043",148833,189541
0,149476,186860,"S","034930","0155",149557,186915
1,149472,186072,"S","034936","0059",149340,185923
0,149142,188628,"S","034836","0030",149139,188643
0,149362,189346,"S","034845","0040",149436,189316
0,148748,189558,"S","034871","0001",148761,189475
0,149830,187390,"S","034927","0011",149838,187404
0,148867,189649,"S","034838","0099",148567,189812
0,148748,189558,"S","034871","0013",148743,189553
0,147661,189417,"S","034838","0221",147713,189383
0,147803,190203,"S","034959","0121",147717,190344
1,147701,189595,"S","034944","0014",147788,189644
0,149887,189579,"S","034893","0054",150030,189577
0,150070,186522,"S","034932","0027",149947,186267
1,150149,188785,"S","034898","0007",149886,188895
1,148891,189406,"S","034837","0033",148850,189493
0,148959,189438,"S","034881","0010",148976,189488
0,148531,185045,"S","034928","0098",148553,185156
1,148622,185810,"S","034931","0084",148777,185449
1,149439,189039,"S","034861","0007",149462,189063
0,148867,189649,"S","034838","0093",148607,189837
0,149454,188089,"S","034846","0052",149462,188446
1,149326,189280,"S","034847","0023",149355,189282
2,149238,189265,"S","034866","0009",149259,189237
0,147415,189145,"S","034946","0009",147486,189201
0,148622,185810,"S","034931","0108",148693,185669
2,148798,185910,"S","034930","0031",148827,185928
0,147482,190322,"S","034954","0017",147503,190291
0,147928,189141,"S","034961","0106",148050,189148
1,149454,188089,"S","034846","0037",149504,188262
0,148959,189438,"S","034881","0010",148976,189488
0,149136,187851,"S","034862","0044",149074,187997
0,148002,187829,"S","034867","0108",147820,188019
0,151334,188719,"S","034903","0018",151292,188787
0,150149,188785,"S","034898","0097",150345,188584
0,147491,188983,"S","034963","0008",147464,189012
0,147661,189417,"S","034838","0221",147713,189383
0,149142,188628,"S","034836","0019",149267,188566
0,148959,189438,"S","034881","0010",148976,189488
0,149629,189172,"S","160373","0001",149594,189162
2,149222,189032,"S","034857","0059",149191,189009
0,148867,189649,"S","034838","0055",149036,189598
1,150370,190552,"S","034885","0011",150338,190598
0,149355,189160,"S","034848","0006",149380,189171
0,149571,189009,"S","034844","0012",149476,189035
0,149152,189237,"C","034849","0171",149179,189251
0,149454,188089,"S","034846","0118",149518,187783
0,150149,188785,"S","034898","0093",150313,188598
0,148959,189438,"S","034881","0010",148976,189488
0,149629,189172,"S","160373","0005",149632,189182
2,149222,189032,"S","034857","0007",149395,189074
0,148565,189309,"S","034849","0073",148634,189331
0,148959,189438,"S","034881","0010",148976,189488
1,149152,189237,"C","034849","0257",149529,189120
0,149222,189032,"S","034857","0052",149072,189064
0,149571,189009,"S","034844","0012",149476,189035
0,148891,189406,"S","034837","0015",148873,189425
0,148237,189189,"S","034961","0137",148222,189215
0,147447,188932,"S","034961","0063",147573,188994
0,149439,189039,"S","034861","0005",149449,189082
1,148785,189585,"S","034870","0002",148785,189600
0,147491,188983,"S","034963","0001",147504,188995
1,149968,189117,"C","034849","0357",150104,189116
1,148891,189406,"S","034837","0035",148850,189500
1,147415,189145,"S","034946","0056",147329,188947
0,148858,185380,"S","034928","0031",149023,185620
0,148148,186687,"S","034931","0133",148494,186097
1,147597,189402,"S","034947","0024",147536,189375
0,149153,188920,"S","034860","0015",149161,188903
0,149476,186860,"S","034930","0093",149185,186485
2,149016,189083,"S","034872","0020",149012,189132
1,148565,189309,"S","034849","0017",148353,189235
0,148375,186467,"S","034940","0019",148367,186574
0,148858,185380,"S","034928","0060",148914,185482
0,149760,186515,"S","034924","0079",149676,186020
0,147482,190322,"S","034954","0001",147657,190377
2,150149,188785,"S","034898","0041",150148,188803
0,149560,189108,"S","034858","0006",149564,189150
1,147415,189145,"S","034946","0022",147411,189179
1,149924,187584,"S","034934","0025",149904,187604
0,150272,187394,"S","034933","0002",150065,187677
0,147922,189388,"S","034949","0005",147918,189447
2,149016,189083,"S","034872","0013",149062,189179
0,150070,186522,"S","034932","0035",149995,186303
0,149571,189009,"S","034844","0012",149476,189035
0,147863,190255,"S","034962","0016",147831,190230
0,148728,189475,"S","034876","0007",148775,189453
0,149901,188812,"S","034908","0002",149971,188821
0,150149,188785,"S","034898","0018",149963,188883
0,148959,189438,"S","034881","0010",148976,189488
0,148538,188128,"S","034867","0031",148833,188448
1,149968,189117,"C","034849","0274",149953,189089
1,149649,189192,"S","034864","0034",149669,189043
1,147608,189181,"S","034951","0032",147586,189088
0,149362,189346,"S","034845","0026",149325,189342
1,149890,189351,"S","034891","0033",149871,189285
1,149649,189192,"S","034864","0020",149632,189182
0,148002,187829,"S","034867","0108",147820,188019
0,149596,188068,"S","034875","0036",149723,188103
2,149561,189345,"S","034845","0064",149547,189329
1,149016,189083,"S","034872","0021",149050,189155
1,149152,189237,"C","034849","0132",149254,189156
0,151052,188647,"S","034886","0030",151037,188592
0,149968,189117,"C","034849","0305",149820,189106
0,148531,185045,"S","034928","0098",148553,185156
2,149130,189305,"S","034855","0038",149171,189367
0,149234,187872,"S","034850","0019",149236,187802
0,148538,188128,"S","034867","0097",148245,187599
1,148891,189406,"S","034837","0033",148850,189493
0,150272,187394,"S","034933","0001",150081,187657
2,150149,188785,"S","034898","0078",150156,188734
0,149326,189280,"S","034847","0022",149342,189289
0,149136,187851,"S","034862","0049",149126,187914
0,148959,189438,"S","034881","0010",148976,189488
2,149649,189192,"S","034864","0011",149617,189248
2,149152,189237,"C","034849","0152",149341,189122
2,149222,189032,"S","034857","0059",149191,189009
0,147701,189595,"S","034944","0002",147674,189558
1,147928,189141,"S","034961","0083",147794,189091
0,150167,188545,"S","034892","0019",150156,188499
0,148002,187829,"S","034867","0124",148040,187557
0,147528,188877,"S","034945","0002",147503,188885
1,149326,189280,"S","034847","0002",149338,189197
0,150167,188545,"S","034892","0014",150178,188563
0,148531,185045,"S","034928","0093",148565,185107
1,148663,189540,"S","034868","0001",148659,189473
0,146819,189968,"S","034954","0050",147152,190253
1,149389,188934,"S","034860","0005",149341,188907
0,149476,186860,"S","034930","0071",149009,186275
1,149326,189280,"S","034847","0025",149371,189274
0,149238,189265,"S","034866","0008",149248,189281
0,148959,189438,"S","034881","0010",148976,189488
0,150097,187139,"S","034921","0036",150197,187062
1,149807,189352,"C","034889","0021",149846,189363
0,150439,188294,"S","034917","0035",150201,188113
2,148891,189406,"S","034837","0018",148921,189370
0,148030,189407,"S","034948","0018",148016,189372
0,147928,189141,"S","034961","0092",147966,189124
1,147415,189145,"S","034946","0040",147342,189034
0,149326,189280,"S","034847","0022",149342,189289
0,150370,190552,"S","034885","0010",150300,190589
0,149454,188089,"S","034846","0059",149476,188084
1,149314,189369,"S","034845","0025",149296,189388
1,149153,188920,"S","034860","0025",149025,188891
0,148622,185810,"S","034931","0085",148760,185533
0,149152,189237,"C","034849","0163",149135,189236
1,149019,188587,"S","034859","0030",148932,188596
0,148486,189525,"S","034843","0038",148466,189639
0,149968,189117,"C","034849","0420",150598,189123
0,149282,187956,"S","034839","0025",149119,187971
0,150149,188785,"S","034898","0006",149885,188859
0,148030,189407,"S","034948","0031",148122,189264
2,149314,189369,"S","034845","0057",149414,189359
1,149282,187956,"S","034839","0004",149399,187987
0,150149,188785,"S","034898","0105",150408,188578
0,149676,187894,"S","034882","0003",149668,187906
2,150149,188785,"S","034898","0072",150144,188748
0,147443,189616,"S","034957","0018",147478,189915
1,150097,187139,"S","034921","0031",150132,187080
1,150149,188785,"S","034898","0032",150053,188873
0,149571,187227,"S","034862","0200",149579,187173
0,147928,189141,"S","034961","0113",148008,189186
0,147803,190203,"S","034959","0089",147828,190043
0,149476,186860,"S","034930","0071",149009,186275
0,149136,187851,"S","034862","0033",149111,188104
0,149362,189346,"S","034845","0026",149325,189342
0,148565,189309,"S","034849","0062",148787,189273
0,148030,189407,"S","034948","0003",148010,189482
2,149454,188089,"S","034846","0046",149468,188479
1,149314,189369,"S","034845","0053",149402,189358
0,150167,188545,"S","034892","0013",150196,188538
0,149968,189117,"C","034849","0378",150363,189109
2,150149,188785,"S","034898","0041",150148,188803
2,147608,189181,"S","034951","0067",147619,189018
2,149222,189032,"S","034857","0061",149185,189012
1,147482,190322,"S","034954","0008",147638,190415
0,149152,189237,"C","034849","0176",149456,189103
1,147928,189141,"S","034961","0077",147769,189078
2,149561,189345,"S","034845","0060",149535,189328
1,149472,186072,"S","034936","0070",149472,186107
0,147482,190322,"S","034954","0014",147550,190376
0,149136,187851,"S","034862","0015",149058,188360
1,148798,185910,"S","034930","0037",148840,185954
0,149685,190373,"S","034900","0026",149594,190250
0,150439,188294,"S","034917","0004",150443,188325
0,149136,187851,"S","034862","0065",149208,187769
0,147922,189388,"S","034949","0005",147918,189447
1,147608,189181,"S","034951","0020",147588,189160
1,149314,189369,"S","034845","0069",149463,189361
0,149352,188986,"S","034884","0016",149321,189002
0,149968,189117,"C","034849","0418",150614,189119
0,148002,187829,"S","034867","0124",148040,187557
0,149263,188233,"S","034854","0035",149162,188240
0,148004,189287,"S","034942","0006",147996,189296
2,149136,187851,"S","034862","0020",149024,188294
0,149234,187872,"S","034850","0008",149242,187888
2,148748,189558,"S","034871","0023",148713,189585
