"src_id","src_addrid","lang_code","street_nm","hnr_base","hnr_full","appt_nr","bus_nr","pc","axon_name","laxon_name","x0","y0","x1","y1","x2","y2","x3","y3","angle","cntry_code","source","prior_source","parity"
2000270632,"1750910","DUT","Mechelseweg",191,"191",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149281.77,189174.7,149278.5,189167.88,149281.77,189174.7,149278.5,189167.88,,"BE","crab",,
2002820354,"1750370","DUT","Mechelseweg",192,"192",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149526.79,189092.11,149529.22,189108.2,149526.79,189092.11,149528.4,189102.78,,"BE","crab",,
2001109655,"1750695","DUT","Mechelseweg",193,"193",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149290.62,189172,149286.75,189163.93,149290.62,189172,149286.75,189163.93,,"BE","crab",,
2001834187,"1750400","DUT","Mechelseweg",194,"194",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149534.13,189093.75,149537.11,189106.55,149534.13,189093.75,149535.96,189101.61,,"BE","crab",,
2000362134,"1750904","DUT","Mechelseweg",196,"196",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149534.13,189093.75,149537.11,189106.55,149534.13,189093.75,149535.96,189101.61,,"BE","crab",,
2000202787,"1750875","DUT","Mechelseweg",198,"198",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149544.86,189090.85,149547.93,189104.03,149544.86,189090.85,149546.78,189099.07,,"BE","crab",,
2002068845,"1750368","DUT","Mechelseweg",199,"199",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149307.37,189163.94,149303.51,189155.89,149307.37,189163.94,149303.98,189156.87,,"BE","crab",,
1001823056,"1750076","DUT","Mechelseweg",199,"199",,"1",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149307.37,189163.94,149303.51,189155.89,149307.37,189163.94,149303.98,189156.87,,"BE","crab",,
2000016845,"1750947","DUT","Mechelseweg",200,"200",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149549.01,189090.5,149551.95,189103.1,149549.01,189090.5,149550.83,189098.31,,"BE","crab",,
2001347153,"1750461","DUT","Mechelseweg",201,"201",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149314.08,189162.4,149309.57,189152.99,149314.08,189162.4,149310.44,189154.8,,"BE","crab",,
2000927211,"1750788","DUT","Mechelseweg",202,"202",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149553.75,189089.86,149556.58,189102.02,149553.75,189089.86,149555.43,189097.05,,"BE","crab",,
2002186716,"1750402","DUT","Mechelseweg",203,"203",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149318.88,189164.8,149312.53,189151.57,149318.88,189164.8,149313.58,189153.76,,"BE","crab",,
2000623049,"1750856","DUT","Mechelseweg",204,"204",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149575.44,189084.53,149577.62,189098.32,149575.44,189084.53,149576.61,189091.94,,"BE","crab",,
2001949261,"1750639","DUT","Mechelseweg",205,"205",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149321.2,189158.37,149317.73,189149.24,149321.2,189158.37,149318.81,189152.07,,"BE","crab",,
2001528703,"1750629","DUT","Mechelseweg",206,"206",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149582.94,189077.55,149586.01,189097,149582.94,189077.55,149584.99,189090.58,,"BE","crab",,
2000501311,"1750886","DUT","Mechelseweg",207,"207",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149325.12,189158.43,149321.13,189147.94,149325.12,189158.43,149322.28,189150.96,,"BE","crab",,
1001239720,"1750157","DUT","Mechelseweg",208,"208",,"1",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149598.02,189081.13,149600.17,189094.77,149598.02,189081.13,149599.18,189088.51,,"BE","crab",,
2001225632,"1750662","DUT","Mechelseweg",208,"208",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149598.02,189081.13,149600.17,189094.77,149598.02,189081.13,149599.18,189088.51,,"BE","crab",,
1001073728,"1750053","DUT","Mechelseweg",208,"208",,"3",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149598.02,189081.13,149600.17,189094.77,149598.02,189081.13,149599.18,189088.51,,"BE","crab",,
1001131948,"1750012","DUT","Mechelseweg",208,"208",,"2",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149598.02,189081.13,149600.17,189094.77,149598.02,189081.13,149599.18,189088.51,,"BE","crab",,
2000267826,"1750919","DUT","Mechelseweg",209,"209",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149328.49,189154.72,149325.31,189146.35,149328.49,189154.72,149326.54,189149.6,,"BE","crab",,
2000154590,"1750884","DUT","Mechelseweg",210,"210",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149609.97,189072.83,149613.11,189092.73,149609.97,189072.83,149612.16,189086.74,,"BE","crab",,
2002059292,"1750524","DUT","Mechelseweg",211,"211",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149332.72,189157.62,149328.04,189145.32,149332.72,189157.62,149329.33,189148.69,,"BE","crab",,
2001754862,"1750407","DUT","Mechelseweg",213,"213",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149340.11,189153.64,149335.82,189142.36,149340.11,189153.64,149337.25,189146.1,,"BE","crab",,
2000763273,"1750747","DUT","Mechelseweg",214,"214",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149620.76,189078.91,149622.7,189091.21,149620.76,189078.91,149621.78,189085.37,,"BE","crab",,
